Quan_huyen,Quan_huyen_goc,Phuong_xa,Dien_tich_km2,SoChungCu,GiaTrungBinh,GiaTrungVi,GiaMin,GiaMax,MatDoChungCu,hospital_cnt,mall_cnt,metro_cnt,university_cnt
Thành phố Thủ Đức,Quận 2,An Khánh,1.7692512969813063,5,269.11199999999997,280.15,192.0,342.71,2.8260541668280768,0,0,0,0
Thành phố Thủ Đức,Quận 2,An Lợi Đông,3.60711049486214,0,,,,,0.0,0,0,0,0
Thành phố Thủ Đức,Quận 2,An Phú,10.217398556534652,42,97.84309523809523,81.70500000000001,46.45,230.04,4.110635380190629,2,2,1,0
Thành phố Thủ Đức,Quận 2,Bình An,1.839601743813484,1,56.89,56.89,56.89,56.89,0.5435959187160835,0,0,0,0
Thành phố Thủ Đức,Quận 2,Bình Khánh,2.01171406989206,6,254.76166666666666,301.84000000000003,62.02,426.01,2.9825312104726365,0,0,0,0
Thành phố Thủ Đức,Quận 2,Bình Trưng Đông,3.3028354809757356,0,,,,,0.0,1,0,0,0
Thành phố Thủ Đức,Quận 2,Bình Trưng Tây,2.0718534035275633,3,86.02999999999999,93.57,63.69,100.83,1.447978894111023,1,1,0,0
Thành phố Thủ Đức,Quận 2,Cát Lái,6.662225659959667,5,51.746,48.43,47.68,60.48,0.7504999462942644,0,0,0,1
Thành phố Thủ Đức,Quận 2,Thạnh Mỹ Lợi,13.21504781679274,10,99.916,91.795,34.35,231.48,0.7567131151271895,0,0,0,0
Thành phố Thủ Đức,Quận 2,Thảo Điền,3.7747470349535512,15,128.71200000000002,120.0,76.87,218.01,3.973776218936636,1,2,2,1
Thành phố Thủ Đức,Quận 2,Thủ Thiêm,1.452136208488888,0,,,,,0.0,0,1,0,0
Thành phố Thủ Đức,Quận 9,Hiệp Phú,2.1675915240096124,4,50.442499999999995,51.31,35.32,63.83,1.8453661382661235,1,0,0,3
Thành phố Thủ Đức,Quận 9,Long Bình,17.79214543883482,0,,,,,0.0,1,2,0,0
Thành phố Thủ Đức,Quận 9,Long Phước,24.739423393417734,0,,,,,0.0,0,0,0,0
Thành phố Thủ Đức,Quận 9,Long Thạnh Mỹ,12.025499869330018,2,56.05,56.05,51.05,61.05,0.16631325281544632,1,0,0,4
Thành phố Thủ Đức,Quận 9,Long Trường,12.682983675157987,0,,,,,0.0,0,0,0,1
Thành phố Thủ Đức,Quận 9,Phú Hữu,11.856592352159591,0,,,,,0.0,0,0,0,0
Thành phố Thủ Đức,Quận 9,Phước Bình,0.9956171710834119,0,,,,,0.0,1,0,0,0
Thành phố Thủ Đức,Quận 9,Phước Long A,2.3369526620006678,0,,,,,0.0,0,0,0,1
Thành phố Thủ Đức,Quận 9,Phước Long B,5.864574508305687,16,56.54875,56.505,43.59,70.83,2.7282456685203753,0,0,0,0
Thành phố Thủ Đức,Quận 9,Tân Phú,4.48092353006263,9,70.75333333333333,67.79,53.44,107.78,2.0085145259941997,1,0,0,2
Thành phố Thủ Đức,Quận 9,Tăng Nhơn Phú A,4.139269561028143,1,51.15,51.15,51.15,51.15,0.24158851827751285,1,1,0,5
Thành phố Thủ Đức,Quận 9,Tăng Nhơn Phú B,5.330453422342481,0,,,,,0.0,0,0,0,0
Thành phố Thủ Đức,Quận 9,Trường Thạnh,9.877057719990018,0,,,,,0.0,0,0,0,0
Thành phố Thủ Đức,Thủ Đức,Bình Chiểu,5.388463233080228,3,45.50666666666666,49.1,37.3,50.12,0.556745006921964,0,0,0,0
Thành phố Thủ Đức,Thủ Đức,Bình Thọ,1.230259520553364,3,56.81666666666666,44.11,28.0,98.34,2.4385098833867316,0,1,1,1
Thành phố Thủ Đức,Thủ Đức,Hiệp Bình Chánh,6.534798496003078,6,54.93666666666667,54.05,38.12,65.9,0.9181614404284723,0,2,0,1
Thành phố Thủ Đức,Thủ Đức,Hiệp Bình Phước,7.637190144499191,4,77.91,66.51,53.62,125.0,0.5237528363597265,0,0,0,0
Thành phố Thủ Đức,Thủ Đức,Linh Chiểu,1.4093954477637314,0,,,,,0.0,0,0,0,3
Thành phố Thủ Đức,Thủ Đức,Linh Đông,2.969740707214213,2,46.44,46.44,39.58,53.3,0.6734594690847993,0,0,0,0
Thành phố Thủ Đức,Thủ Đức,Linh Tây,1.3529369633087003,0,,,,,0.0,0,0,0,2
Thành phố Thủ Đức,Thủ Đức,Linh Trung,7.136967148703152,2,54.64,54.64,50.7,58.58,0.2802310783178282,2,0,2,6
Thành phố Thủ Đức,Thủ Đức,Linh Xuân,3.8822995873989488,0,,,,,0.0,1,0,0,0
Thành phố Thủ Đức,Thủ Đức,Tam Bình,2.172261665652813,5,45.284000000000006,42.23,38.42,56.2,2.3017484859483486,0,0,0,0
Thành phố Thủ Đức,Thủ Đức,Tam Phú,3.0966875510767027,1,34.95,34.95,34.95,34.95,0.3229257015782251,2,0,0,0
Thành phố Thủ Đức,Thủ Đức,Trường Thọ,5.089595406923178,6,48.56,44.76,36.2,65.89,1.178875631614732,0,0,2,0
